"%1 already has an active account.","%1 already has an active account."
"%name,","%name,"
"-- Please Select --","-- Please Select --"
"Please enter your first name.","Please enter your first name."
"Please enter your last name.","Please enter your last name."
"Reject Passwords Found in Data Breaches","Reject Passwords Found in Data Breaches"
"Save and sign in","Save and sign in"
"Save it in your password manager before you continue.","Save it in your password manager before you continue."
"Send Invitation","Send Invitation"
"Send a password reset link","Send a password reset link"
"Send a password reset link to %1?","Send a password reset link to %1?"
"Send the invitation again","Send the invitation again"
"Send the invitation to %1 again?","Send the invitation to %1 again?"
"Send this administrator an e-mail with a link to set a new password themselves. Their current password keeps working until they use it.","Send this administrator an e-mail with a link to set a new password themselves. Their current password keeps working until they use it."
"Sender","Sender"
"Sent when another administrator clicks ""Send a password reset link"". Variables: user, reset_url, valid_until, store.","Sent when another administrator clicks ""Send a password reset link"". Variables: user, reset_url, valid_until, store."
"Set a new password","Set a new password"
"Set a new password for the %1 administration panel","Set a new password for the %1 administration panel"
"Set up your account","Set up your account"
"Something went wrong while saving your account. Please try again.","Something went wrong while saving your account. Please try again."
"Something went wrong while sending the access link.","Something went wrong while sending the access link."
"Strong (recommended)","Strong (recommended)"
"The account for %1 was created, but the invitation could not be sent. Check the mail configuration and send it again from the user's page or with: bin/magento calmfox:admin:invite %1","The account for %1 was created, but the invitation could not be sent. Check the mail configuration and send it again from the user's page or with: bin/magento calmfox:admin:invite %1"
"The account is created inactive and without a password until the invitation is accepted.","The account is created inactive and without a password until the invitation is accepted."
"The e-mail to %1 could not be sent. Check the mail settings.","The e-mail to %1 could not be sent. Check the mail settings."
"The invitation has been sent to %1 again.","The invitation has been sent to %1 again."
"The invitation has been sent to %1.","The invitation has been sent to %1."
"The language of the invitation e-mail and of the panel, until the invitee changes it.","The language of the invitation e-mail and of the panel, until the invitee changes it."
"The link works until %date.","The link works until %date."
"The link works until %date. After that, ask for a new invitation.","The link works until %date. After that, ask for a new invitation."
"The passwords do not match.","The passwords do not match."
"This administrator has not accepted the invitation yet. You can send it again with a new link.","This administrator has not accepted the invitation yet. You can send it again with a new link."
"This administrator no longer exists.","This administrator no longer exists."
"This invitation link has expired or has already been used. Ask an administrator to invite you again.","This invitation link has expired or has already been used. Ask an administrator to invite you again."
"This is what you will sign in with.","This is what you will sign in with."
"This password has appeared in a data breach. Please choose a different one.","This password has appeared in a data breach. Please choose a different one."
"This password is too easy to guess. Make it longer and mix letters, digits and symbols, or use the generator.","This password is too easy to guess. Make it longer and mix letters, digits and symbols, or use the generator."
"User Name","User Name"
"User Role","User Role"
"Users","Users"
"Variables: user, invitation_url, valid_until, store.","Variables: user, invitation_url, valid_until, store."
"Very strong","Very strong"
"We will e-mail a link to this address. The invitee sets their own name and a strong password, and then lands in the panel already signed in.","We will e-mail a link to this address. The invitee sets their own name and a strong password, and then lands in the panel already signed in."
"Weak","Weak"
"Welcome! Your account is ready.","Welcome! Your account is ready."
"Yes: the policy also applies to ""Forgot your password?"", Account Setting and the user form in System > All Users. No: only to passwords set through an invitation.","Yes: the policy also applies to ""Forgot your password?"", Account Setting and the user form in System > All Users. No: only to passwords set through an invitation."
"You have been invited to the %1 administration panel","You have been invited to the %1 administration panel"
"You have been invited to the administration panel as %1.","You have been invited to the administration panel as %1."
"You have been invited to the administration panel of %store_name. Use the button below to choose your name and password; you will be signed in straight away.","You have been invited to the administration panel of %store_name. Use the button below to choose your name and password; you will be signed in straight away."
"Your details","Your details"
"Your e-mail address: %email","Your e-mail address: %email"
"Your password","Your password"
"Your password must be at least %1 characters.","Your password must be at least %1 characters."
