"%1 already has an active account.","%1 ma już aktywne konto."
"%name,","%name,"
"-- Please Select --","-- Wybierz --"
"Sender","Nadawca"
"Sent when another administrator clicks ""Send a password reset link"". Variables: user, reset_url, valid_until, store.","Wysyłany, gdy inny administrator kliknie „Wyślij link do resetu hasła”. Zmienne: user, reset_url, valid_until, store."
"Set a new password","Ustaw nowe hasło"
"Set a new password for the %1 administration panel","Ustaw nowe hasło do panelu administracyjnego %1"
"Set up your account","Załóż konto"
"Something went wrong while saving your account. Please try again.","Coś poszło nie tak przy zapisie konta. Spróbuj ponownie."
"Something went wrong while sending the access link.","Coś poszło nie tak przy wysyłaniu linku dostępu."
"Strong (recommended)","Silna (zalecana)"
"The account for %1 was created, but the invitation could not be sent. Check the mail configuration and send it again from the user's page or with: bin/magento calmfox:admin:invite %1","Konto dla %1 zostało utworzone, ale nie udało się wysłać zaproszenia. Sprawdź konfigurację poczty i wyślij je ponownie z karty użytkownika albo poleceniem: bin/magento calmfox:admin:invite %1"
"The account is created inactive and without a password until the invitation is accepted.","Konto powstaje nieaktywne i bez hasła, dopóki zaproszenie nie zostanie przyjęte."
"The e-mail to %1 could not be sent. Check the mail settings.","Nie udało się wysłać wiadomości na %1. Sprawdź konfigurację poczty."
"The invitation has been sent to %1 again.","Zaproszenie zostało ponownie wysłane na %1."
"The invitation has been sent to %1.","Zaproszenie zostało wysłane na %1."
"The language of the invitation e-mail and of the panel, until the invitee changes it.","Język wiadomości z zaproszeniem i panelu, dopóki zaproszona osoba go nie zmieni."
"The link works until %date.","Link działa do %date."
"The link works until %date. After that, ask for a new invitation.","Link działa do %date. Później poproś o nowe zaproszenie."
"The passwords do not match.","Hasła nie są takie same."
"This administrator has not accepted the invitation yet. You can send it again with a new link.","Zaproszenie nie zostało jeszcze przyjęte. Możesz wysłać je ponownie z nowym linkiem."
"This administrator no longer exists.","Tego administratora już nie ma."
"This invitation link has expired or has already been used. Ask an administrator to invite you again.","Link z zaproszenia wygasł albo został już użyty. Poproś administratora o ponowne zaproszenie."
"This is what you will sign in with.","Tym będziesz się logować."
"This password has appeared in a data breach. Please choose a different one.","To hasło wyciekło w jednym ze znanych wycieków danych. Wybierz inne."
"This password is too easy to guess. Make it longer and mix letters, digits and symbols, or use the generator.","To hasło jest za łatwe do odgadnięcia. Wydłuż je i mieszaj litery, cyfry i znaki specjalne albo użyj generatora."
"User Name","Nazwa użytkownika"
"User Role","Rola użytkownika"
"Users","Użytkownicy"
"Variables: user, invitation_url, valid_until, store.","Zmienne: user, invitation_url, valid_until, store."
"Very strong","Bardzo silna"
"We will e-mail a link to this address. The invitee sets their own name and a strong password, and then lands in the panel already signed in.","Na ten adres wyślemy link. Zaproszona osoba sama ustawi imię, nazwisko i mocne hasło, a potem trafi do panelu już zalogowana."
"Weak","Słaba"
"Welcome! Your account is ready.","Witaj! Twoje konto jest gotowe."
"Yes: the policy also applies to ""Forgot your password?"", Account Setting and the user form in System > All Users. No: only to passwords set through an invitation.","Tak: wymagania obowiązują też przy „Forgot your password?”, w Account Setting i w formularzu użytkownika w System > All Users. Nie: tylko przy hasłach ustawianych z zaproszenia."
"You have been invited to the %1 administration panel","Zaproszenie do panelu administracyjnego %1"
"You have been invited to the administration panel as %1.","Zaproszono Cię do panelu administracyjnego jako %1."
"You have been invited to the administration panel of %store_name. Use the button below to choose your name and password; you will be signed in straight away.","Zaproszono Cię do panelu administracyjnego %store_name. Kliknij przycisk poniżej, aby podać imię i nazwisko oraz wybrać hasło; od razu zostaniesz zalogowana lub zalogowany."
"Your details","Twoje dane"
"Your e-mail address: %email","Twój adres e-mail: %email"
"Your password","Twoje hasło"
"Your password must be at least %1 characters.","Hasło musi mieć co najmniej %1 znaków."
